question,answer
What is cardiovascular disease?,"Cardiovascular disease refers to a group of disorders of the heart and blood vessels including coronary artery disease, stroke, and hypertension."
What is a heart attack?,"A heart attack occurs when blood flow to a part of the heart muscle is blocked, usually due to a clot in a coronary artery."
What is blood pressure?,Blood pressure is the force of circulating blood pushing against the walls of arteries.
What is hypertension?,Hypertension is a condition where blood pressure is consistently higher than normal levels.
What is cholesterol?,Cholesterol is a fatty substance in the blood that is necessary for building cells but can increase heart disease risk when levels are high.
What is LDL cholesterol?,LDL cholesterol is known as bad cholesterol because it contributes to plaque buildup in arteries.
What is HDL cholesterol?,HDL cholesterol is known as good cholesterol because it helps remove excess cholesterol from the bloodstream.
What is a stroke?,A stroke occurs when blood flow to part of the brain is interrupted or reduced.
What are symptoms of heart disease?,"Common symptoms include chest pain, shortness of breath, fatigue, dizziness, and irregular heartbeat."
How can heart disease be prevented?,"Heart disease prevention includes healthy diet, regular exercise, avoiding smoking, and maintaining normal blood pressure."
Explain the role of coronary artery disease in cardiovascular health question 1,Coronary artery disease occurs when coronary arteries become narrowed or blocked due to plaque buildup.
Explain the role of myocardial infarction in cardiovascular health question 2,Myocardial infarction is another term for heart attack caused by interruption of blood supply to heart muscle.
Explain the role of arrhythmia in cardiovascular health question 3,"Arrhythmia refers to an abnormal heart rhythm where the heart may beat too fast, too slow, or irregularly."
Explain the role of angioplasty in cardiovascular health question 4,Angioplasty is a medical procedure used to open blocked coronary arteries using a balloon catheter.
Explain the role of stent in cardiovascular health question 5,A stent is a small mesh tube inserted into an artery to keep it open and improve blood flow.
Explain the role of echocardiography in cardiovascular health question 6,Echocardiography is an ultrasound imaging technique used to visualize heart structure and function.
Explain the role of electrocardiogram in cardiovascular health question 7,An electrocardiogram records the electrical activity of the heart and helps detect abnormalities.
Explain the role of metabolic syndrome in cardiovascular health question 8,"Metabolic syndrome is a cluster of conditions including obesity, hypertension, and insulin resistance that increase cardiovascular risk."
Explain the role of renin angiotensin aldosterone system in cardiovascular health question 9,The renin angiotensin aldosterone system regulates blood pressure and fluid balance in the body.
Explain the role of atherosclerosis in cardiovascular health question 10,Atherosclerosis is the buildup of fatty plaques inside artery walls that restrict blood flow and increase cardiovascular risk.
Explain the role of coronary artery disease in cardiovascular health question 11,Coronary artery disease occurs when coronary arteries become narrowed or blocked due to plaque buildup.
Explain the role of myocardial infarction in cardiovascular health question 12,Myocardial infarction is another term for heart attack caused by interruption of blood supply to heart muscle.
Explain the role of arrhythmia in cardiovascular health question 13,"Arrhythmia refers to an abnormal heart rhythm where the heart may beat too fast, too slow, or irregularly."
Explain the role of angioplasty in cardiovascular health question 14,Angioplasty is a medical procedure used to open blocked coronary arteries using a balloon catheter.
Explain the role of stent in cardiovascular health question 15,A stent is a small mesh tube inserted into an artery to keep it open and improve blood flow.
Explain the role of echocardiography in cardiovascular health question 16,Echocardiography is an ultrasound imaging technique used to visualize heart structure and function.
Explain the role of electrocardiogram in cardiovascular health question 17,An electrocardiogram records the electrical activity of the heart and helps detect abnormalities.
Explain the role of metabolic syndrome in cardiovascular health question 18,"Metabolic syndrome is a cluster of conditions including obesity, hypertension, and insulin resistance that increase cardiovascular risk."
Explain the role of renin angiotensin aldosterone system in cardiovascular health question 19,The renin angiotensin aldosterone system regulates blood pressure and fluid balance in the body.
Explain the role of atherosclerosis in cardiovascular health question 20,Atherosclerosis is the buildup of fatty plaques inside artery walls that restrict blood flow and increase cardiovascular risk.
Explain the role of coronary artery disease in cardiovascular health question 21,Coronary artery disease occurs when coronary arteries become narrowed or blocked due to plaque buildup.
Explain the role of myocardial infarction in cardiovascular health question 22,Myocardial infarction is another term for heart attack caused by interruption of blood supply to heart muscle.
Explain the role of arrhythmia in cardiovascular health question 23,"Arrhythmia refers to an abnormal heart rhythm where the heart may beat too fast, too slow, or irregularly."
Explain the role of angioplasty in cardiovascular health question 24,Angioplasty is a medical procedure used to open blocked coronary arteries using a balloon catheter.
Explain the role of stent in cardiovascular health question 25,A stent is a small mesh tube inserted into an artery to keep it open and improve blood flow.
Explain the role of echocardiography in cardiovascular health question 26,Echocardiography is an ultrasound imaging technique used to visualize heart structure and function.
Explain the role of electrocardiogram in cardiovascular health question 27,An electrocardiogram records the electrical activity of the heart and helps detect abnormalities.
Explain the role of metabolic syndrome in cardiovascular health question 28,"Metabolic syndrome is a cluster of conditions including obesity, hypertension, and insulin resistance that increase cardiovascular risk."
Explain the role of renin angiotensin aldosterone system in cardiovascular health question 29,The renin angiotensin aldosterone system regulates blood pressure and fluid balance in the body.
Explain the role of atherosclerosis in cardiovascular health question 30,Atherosclerosis is the buildup of fatty plaques inside artery walls that restrict blood flow and increase cardiovascular risk.
Explain the role of coronary artery disease in cardiovascular health question 31,Coronary artery disease occurs when coronary arteries become narrowed or blocked due to plaque buildup.
Explain the role of myocardial infarction in cardiovascular health question 32,Myocardial infarction is another term for heart attack caused by interruption of blood supply to heart muscle.
Explain the role of arrhythmia in cardiovascular health question 33,"Arrhythmia refers to an abnormal heart rhythm where the heart may beat too fast, too slow, or irregularly."
Explain the role of angioplasty in cardiovascular health question 34,Angioplasty is a medical procedure used to open blocked coronary arteries using a balloon catheter.
Explain the role of stent in cardiovascular health question 35,A stent is a small mesh tube inserted into an artery to keep it open and improve blood flow.
Explain the role of echocardiography in cardiovascular health question 36,Echocardiography is an ultrasound imaging technique used to visualize heart structure and function.
Explain the role of electrocardiogram in cardiovascular health question 37,An electrocardiogram records the electrical activity of the heart and helps detect abnormalities.
Explain the role of metabolic syndrome in cardiovascular health question 38,"Metabolic syndrome is a cluster of conditions including obesity, hypertension, and insulin resistance that increase cardiovascular risk."
Explain the role of renin angiotensin aldosterone system in cardiovascular health question 39,The renin angiotensin aldosterone system regulates blood pressure and fluid balance in the body.
Explain the role of atherosclerosis in cardiovascular health question 40,Atherosclerosis is the buildup of fatty plaques inside artery walls that restrict blood flow and increase cardiovascular risk.
Explain the role of coronary artery disease in cardiovascular health question 41,Coronary artery disease occurs when coronary arteries become narrowed or blocked due to plaque buildup.
Explain the role of myocardial infarction in cardiovascular health question 42,Myocardial infarction is another term for heart attack caused by interruption of blood supply to heart muscle.
Explain the role of arrhythmia in cardiovascular health question 43,"Arrhythmia refers to an abnormal heart rhythm where the heart may beat too fast, too slow, or irregularly."
Explain the role of angioplasty in cardiovascular health question 44,Angioplasty is a medical procedure used to open blocked coronary arteries using a balloon catheter.
Explain the role of stent in cardiovascular health question 45,A stent is a small mesh tube inserted into an artery to keep it open and improve blood flow.
Explain the role of echocardiography in cardiovascular health question 46,Echocardiography is an ultrasound imaging technique used to visualize heart structure and function.
Explain the role of electrocardiogram in cardiovascular health question 47,An electrocardiogram records the electrical activity of the heart and helps detect abnormalities.
Explain the role of metabolic syndrome in cardiovascular health question 48,"Metabolic syndrome is a cluster of conditions including obesity, hypertension, and insulin resistance that increase cardiovascular risk."
Explain the role of renin angiotensin aldosterone system in cardiovascular health question 49,The renin angiotensin aldosterone system regulates blood pressure and fluid balance in the body.
Explain the role of atherosclerosis in cardiovascular health question 50,Atherosclerosis is the buildup of fatty plaques inside artery walls that restrict blood flow and increase cardiovascular risk.
Explain the role of coronary artery disease in cardiovascular health question 51,Coronary artery disease occurs when coronary arteries become narrowed or blocked due to plaque buildup.
Explain the role of myocardial infarction in cardiovascular health question 52,Myocardial infarction is another term for heart attack caused by interruption of blood supply to heart muscle.
Explain the role of arrhythmia in cardiovascular health question 53,"Arrhythmia refers to an abnormal heart rhythm where the heart may beat too fast, too slow, or irregularly."
Explain the role of angioplasty in cardiovascular health question 54,Angioplasty is a medical procedure used to open blocked coronary arteries using a balloon catheter.
Explain the role of stent in cardiovascular health question 55,A stent is a small mesh tube inserted into an artery to keep it open and improve blood flow.
Explain the role of echocardiography in cardiovascular health question 56,Echocardiography is an ultrasound imaging technique used to visualize heart structure and function.
Explain the role of electrocardiogram in cardiovascular health question 57,An electrocardiogram records the electrical activity of the heart and helps detect abnormalities.
